"","V1","V2"
"160","alakazam","tidyr"
"161","alakazam","dplyr"
"162","alakazam","rlang"
"163","alakazam","airr"
"164","alakazam","scales"
"165","alakazam","tibble"
"166","alakazam","igraph"
"167","alakazam","stringi"
"168","alakazam","Rcpp"
"169","alakazam","seqinr"
"170","alakazam","ggplot2"
"171","alakazam","ape"
"172","alakazam","readr"
"173","alakazam","progress"
"174","CA3variants","ggforce"
"175","CA3variants","ggplot2"
"176","CA3variants","plotly"
"177","CA3variants","ggrepel"
"178","CA3variants","multichull"
"179","CA3variants","gridExtra"
"180","clustAnalytics","dplyr"
"181","clustAnalytics","Rdpack"
"182","clustAnalytics","igraph"
"183","clustAnalytics","Rcpp"
"184","clustAnalytics","mclust"
"185","clustAnalytics","mcclust"
"186","clustAnalytics","boot"
"187","clustAnalytics","fossil"
"188","clustAnalytics","truncnorm"
"189","CommKern","Matrix"
"190","CommKern","ggplot2"
"191","CommKern","RColorBrewer"
"192","CommKern","ggnewscale"
"193","CommKern","reshape2"
"194","CommKern","gridExtra"
"195","compareMCMCs","ggplot2"
"196","compareMCMCs","nimble"
"197","compareMCMCs","R6"
"198","compareMCMCs","coda"
"199","compareMCMCs","reshape2"
"200","compareMCMCs","xtable"
"201","Correlplot","MASS"
"202","Correlplot","corrplot"
"203","Correlplot","calibrate"
"204","Correlplot","xtable"
"205","CytobankAPI","httr"
"206","CytobankAPI","uuid"
"207","CytobankAPI","jsonlite"
"208","CytobankAPI","jose"
"209","CytobankAPI","curl"
"210","CytobankAPI","aws.s3"
"211","dail","dplyr"
"212","dail","stringr"
"213","dail","tidytext"
"214","dail","RCurl"
"215","dail","magrittr"
"216","dail","readr"
"217","dail","stopwords"
"218","deeptime","cli"
"219","deeptime","gtable"
"220","deeptime","rlang"
"221","deeptime","scales"
"222","deeptime","ggforce"
"223","deeptime","ggplot2"
"224","deeptime","ggnewscale"
"225","deeptime","lattice"
"226","deeptime","curl"
"227","deeptime","ggfittext"
"228","deeptime","gridExtra"
"229","defineR","common"
"230","defineR","reporter"
"231","defineR","libr"
"232","defineR","readxl"
"233","defineR","glue"
"234","defineR","openxlsx"
"235","defineR","xml2"
"236","defineR","xslt"
"237","dm","lifecycle"
"238","dm","cli"
"239","dm","tidyr"
"240","dm","dplyr"
"241","dm","rlang"
"242","dm","pillar"
"243","dm","tibble"
"244","dm","igraph"
"245","dm","DBI"
"246","dm","vctrs"
"247","dm","magrittr"
"248","dm","glue"
"249","dm","tidyselect"
"250","dm","backports"
"251","dm","memoise"
"252","dm","purrr"
"253","duckdb","DBI"
"254","DynForest","zoo"
"255","DynForest","DescTools"
"256","DynForest","stringr"
"257","DynForest","survival"
"258","DynForest","lcmm"
"259","DynForest","pec"
"260","DynForest","ggplot2"
"261","DynForest","doParallel"
"262","DynForest","foreach"
"263","DynForest","cmprsk"
"264","DynForest","pbapply"
"265","DynForest","prodlim"
"266","EventStudy","tidyquant"
"267","EventStudy","tidyr"
"268","EventStudy","dplyr"
"269","EventStudy","rlang"
"270","EventStudy","rstudioapi"
"271","EventStudy","scales"
"272","EventStudy","stringr"
"273","EventStudy","httr"
"274","EventStudy","shiny"
"275","EventStudy","ggplot2"
"276","EventStudy","testthat"
"277","EventStudy","RColorBrewer"
"278","EventStudy","magrittr"
"279","EventStudy","jsonlite"
"280","EventStudy","readr"
"281","EventStudy","data.table"
"282","EventStudy","curl"
"283","EventStudy","purrr"
"284","EventStudy","miniUI"
"285","fdaconcur","fdapace"
"286","FielDHub","DT"
"287","FielDHub","dplyr"
"288","FielDHub","shiny"
"289","FielDHub","htmltools"
"290","FielDHub","golem"
"291","FielDHub","ggplot2"
"292","FielDHub","magrittr"
"293","FielDHub","shinyjqui"
"294","FielDHub","shinyjs"
"295","FielDHub","shinyalert"
"296","FielDHub","desplot"
"297","FielDHub","viridis"
"298","FielDHub","plotly"
"299","FielDHub","numbers"
"300","FielDHub","blocksdesign"
"301","FielDHub","shinythemes"
"302","FielDHub","config"
"303","FielDHub","shinycssloaders"
"304","FielDHub","turner"
"305","FieldSimR","matrixcalc"
"306","FieldSimR","fields"
"307","FieldSimR","interp"
"308","FieldSimR","mbend"
"309","forestploter","gtable"
"310","forestploter","gridExtra"
"311","gasmodel","Matrix"
"312","gasmodel","nloptr"
"313","gasmodel","pracma"
"314","gasmodel","mvnfast"
"315","gasmodel","arrangements"
"316","gasmodel","numDeriv"
"317","gasmodel","abind"
"318","geostan","Matrix"
"319","geostan","rstan"
"320","geostan","spdep"
"321","geostan","MASS"
"322","geostan","sf"
"323","geostan","Rcpp"
"324","geostan","ggplot2"
"325","geostan","rstantools"
"326","geostan","RcppParallel"
"327","geostan","signs"
"328","geostan","truncnorm"
"329","geostan","gridExtra"
"330","ggOceanMaps","raster"
"331","ggOceanMaps","dplyr"
"332","ggOceanMaps","stars"
"333","ggOceanMaps","sf"
"334","ggOceanMaps","ggspatial"
"335","ggOceanMaps","sp"
"336","ggOceanMaps","ggplot2"
"337","ggOceanMaps","units"
"338","ggOceanMaps","rgeos"
"339","ggOceanMaps","smoothr"
"340","grandR","Matrix"
"341","grandR","patchwork"
"342","grandR","MASS"
"343","grandR","ggplot2"
"344","grandR","lfc"
"345","grandR","minpack.lm"
"346","grandR","plyr"
"347","grandR","cowplot"
"348","grandR","reshape2"
"349","grandR","numDeriv"
"350","gsbm","Matrix"
"351","gsbm","RSpectra"
"352","gsbm","doParallel"
"353","gsbm","foreach"
"354","gsbm","softImpute"
"355","hmstimer","hms"
"356","kernstadapt","spatstat.utils"
"357","kernstadapt","spatstat.random"
"358","kernstadapt","spatstat.geom"
"359","kernstadapt","sparr"
"360","kernstadapt","misc3d"
"361","LMD","patchwork"
"362","LMD","ggplot2"
"363","LMD","EMD"
"364","MCDA","ggplot2"
"365","MCDA","RColorBrewer"
"366","MCDA","plyr"
"367","MCDA","glpkAPI"
"368","MCDA","triangle"
"369","MCDA","Rglpk"
"370","MCDA","combinat"
"371","mlr3pipelines","lgr"
"372","mlr3pipelines","mlr3"
"373","mlr3pipelines","paradox"
"374","mlr3pipelines","checkmate"
"375","mlr3pipelines","withr"
"376","mlr3pipelines","mlr3misc"
"377","mlr3pipelines","backports"
"378","mlr3pipelines","digest"
"379","mlr3pipelines","data.table"
"380","mlr3pipelines","R6"
"381","mosaic","Matrix"
"382","mosaic","tidyr"
"383","mosaic","dplyr"
"384","mosaic","ggformula"
"385","mosaic","mosaicData"
"386","mosaic","rlang"
"387","mosaic","mosaicCore"
"388","mosaic","MASS"
"389","mosaic","ggplot2"
"390","mosaic","lattice"
"391","mosaic","purrr"
"392","mvinfluence","car"
"393","mvinfluence","heplots"
"394","netdiffuseR","Matrix"
"395","netdiffuseR","viridisLite"
"396","netdiffuseR","MASS"
"397","netdiffuseR","igraph"
"398","netdiffuseR","Rcpp"
"399","netdiffuseR","sna"
"400","netdiffuseR","network"
"401","netdiffuseR","MatchIt"
"402","netdiffuseR","networkDynamic"
"403","netdiffuseR","boot"
"404","netdiffuseR","SparseM"
"405","neuRosim","deSolve"
"406","ngramr","cli"
"407","ngramr","tidyr"
"408","ngramr","dplyr"
"409","ngramr","rlang"
"410","ngramr","scales"
"411","ngramr","stringr"
"412","ngramr","httr"
"413","ngramr","tibble"
"414","ngramr","ggplot2"
"415","ngramr","rjson"
"416","ngramr","xml2"
"417","ngramr","curl"
"418","ngramr","textutils"
"419","nlmeVPC","Hmisc"
"420","nlmeVPC","quantreg"
"421","nlmeVPC","timeDate"
"422","nlmeVPC","Rcpp"
"423","nlmeVPC","optimx"
"424","nlmeVPC","ggplot2"
"425","OptiSembleForecasting","FactoMineR"
"426","OptiSembleForecasting","dplyr"
"427","OptiSembleForecasting","readxl"
"428","OptiSembleForecasting","forecast"
"429","OptiSembleForecasting","tibble"
"430","OptiSembleForecasting","tsutils"
"431","OptiSembleForecasting","keras"
"432","OptiSembleForecasting","tensorflow"
"433","OptiSembleForecasting","caretForecast"
"434","OptiSembleForecasting","factoextra"
"435","OptiSembleForecasting","metaheuristicOpt"
"436","OptiSembleForecasting","neuralnet"
"437","OptiSembleForecasting","Metrics"
"438","OptiSembleForecasting","MCS"
"439","OptiSembleForecasting","kknn"
"440","projpred","dplyr"
"441","projpred","rlang"
"442","projpred","MASS"
"443","projpred","lme4"
"444","projpred","Rcpp"
"445","projpred","ggplot2"
"446","projpred","rstantools"
"447","projpred","magrittr"
"448","projpred","mgcv"
"449","projpred","loo"
"450","projpred","mvtnorm"
"451","projpred","gamm4"
"452","PRSim","lmomco"
"453","PRSim","mev"
"454","PRSim","goftest"
"455","PRSim","wavScalogram"
"456","PRSim","splus2R"
"457","PTXQC","gtable"
"458","PTXQC","knitr"
"459","PTXQC","ontologyIndex"
"460","PTXQC","rmarkdown"
"461","PTXQC","htmlTable"
"462","PTXQC","seqinr"
"463","PTXQC","ggplot2"
"464","PTXQC","RColorBrewer"
"465","PTXQC","magrittr"
"466","PTXQC","plyr"
"467","PTXQC","jsonlite"
"468","PTXQC","yaml"
"469","PTXQC","ggdendro"
"470","PTXQC","xml2"
"471","PTXQC","data.table"
"472","PTXQC","R6"
"473","PTXQC","R6P"
"474","PTXQC","reshape2"
"475","PTXQC","UpSetR"
"476","PTXQC","gridExtra"
"477","RANKS","NetPreProc"
"478","RANKS","PerfMeas"
"479","RcmdrPlugin.survival","Rcmdr"
"480","RcmdrPlugin.survival","survival"
"481","RcmdrPlugin.survival","car"
"482","RcmdrPlugin.survival","date"
"483","RestoreNet","Matrix"
"484","RestoreNet","scatterpie"
"485","RestoreNet","scales"
"486","RestoreNet","stringr"
"487","RestoreNet","ggplot2"
"488","RestoreNet","RColorBrewer"
"489","RestoreNet","xtable"
"490","RoBTT","BayesTools"
"491","RoBTT","rstan"
"492","RoBTT","Rdpack"
"493","RoBTT","Rcpp"
"494","RoBTT","rstantools"
"495","RoBTT","RcppParallel"
"496","RoBTT","bridgesampling"
"497","rocbc","splancs"
"498","rocbc","pracma"
"499","rocbc","clinfun"
"500","rocbc","mvtnorm"
"501","rocbc","formattable"
"502","saccadr","tidyr"
"503","saccadr","dplyr"
"504","saccadr","rlang"
"505","saccadr","cluster"
"506","saccadr","Rcpp"
"507","saccadr","magrittr"
"508","saccadr","signal"
"509","SASmarkdown","xfun"
"510","SASmarkdown","knitr"
"511","see","insight"
"512","see","bayestestR"
"513","see","datawizard"
"514","see","modelbased"
"515","see","effectsize"
"516","see","parameters"
"517","see","performance"
"518","see","correlation"
"519","see","ggplot2"
"520","SeuratObject","Matrix"
"521","SeuratObject","future.apply"
"522","SeuratObject","future"
"523","SeuratObject","progressr"
"524","SeuratObject","rlang"
"525","SeuratObject","Rcpp"
"526","SeuratObject","sp"
"527","SiPhyNetwork","Rcpp"
"528","SiPhyNetwork","ape"
"529","SiPhyNetwork","rstackdeque"
"530","SqlRender","rlang"
"531","SqlRender","checkmate"
"532","SqlRender","rJava"
"533","SQRL","RODBC"
"534","text","tidyr"
"535","text","yardstick"
"536","text","future"
"537","text","dplyr"
"538","text","reticulate"
"539","text","rlang"
"540","text","parsnip"
"541","text","furrr"
"542","text","rsample"
"543","text","tibble"
"544","text","overlapping"
"545","text","stringi"
"546","text","recipes"
"547","text","tune"
"548","text","workflows"
"549","text","ggplot2"
"550","text","magrittr"
"551","text","ggrepel"
"552","text","cowplot"
"553","text","purrr"
"554","tigger","alakazam"
"555","tigger","tidyr"
"556","tigger","dplyr"
"557","tigger","rlang"
"558","tigger","gtools"
"559","tigger","stringi"
"560","tigger","ggplot2"
"561","tigger","doParallel"
"562","tigger","iterators"
"563","tigger","foreach"
"564","tigger","lazyeval"
"565","tigger","gridExtra"
"566","TOSTER","tidyr"
"567","TOSTER","distributional"
"568","TOSTER","ggdist"
"569","TOSTER","jmvcore"
"570","TOSTER","ggplot2"
"571","TOSTER","R6"
"572","TOSTER","cowplot"
"573","TrenchR","zoo"
"574","TrenchR","Rdpack"
"575","TrenchR","deSolve"
"576","TrenchR","msm"
"577","umx","Matrix"
"578","umx","MuMIn"
"579","umx","knitr"
"580","umx","scales"
"581","umx","nlme"
"582","umx","MASS"
"583","umx","RCurl"
"584","umx","lavaan"
"585","umx","R2HTML"
"586","umx","ggplot2"
"587","umx","rsvg"
"588","umx","OpenMx"
"589","umx","DiagrammeR"
"590","umx","polycor"
"591","umx","mvtnorm"
"592","umx","kableExtra"
"593","umx","cowplot"
"594","umx","xtable"
"595","umx","DiagrammeRsvg"
"596","unikn","cli"
"597","unikn","ggplot2"
"598","usincometaxes","httr"
"599","usincometaxes","V8"
"600","usincometaxes","tibble"
"601","usincometaxes","tidyselect"
"602","usincometaxes","vroom"
"603","washeR","gplots"
"604","yamlet","tidyr"
"605","yamlet","dplyr"
"606","yamlet","rlang"
"607","yamlet","scales"
"608","yamlet","pillar"
"609","yamlet","csv"
"610","yamlet","ggplot2"
"611","yamlet","vctrs"
"612","yamlet","yaml"
"613","yamlet","units"
"614","yamlet","spork"
"615","yamlet","encode"
"616","yamlet","xtable"
"617","alqrfe","MASS"
"618","alqrfe","Rcpp"
"619","atime","git2r"
"620","atime","bench"
"621","atime","data.table"
"622","atime","lattice"
"623","attachment","cli"
"624","attachment","desc"
"625","attachment","knitr"
"626","attachment","rmarkdown"
"627","attachment","stringr"
"628","attachment","roxygen2"
"629","attachment","magrittr"
"630","attachment","withr"
"631","attachment","glue"
"632","bartMachineJARs","rJava"
"633","brms","Matrix"
"634","brms","rstan"
"635","brms","posterior"
"636","brms","future"
"637","brms","nlme"
"638","brms","nleqslv"
"639","brms","Rcpp"
"640","brms","ggplot2"
"641","brms","matrixStats"
"642","brms","rstantools"
"643","brms","mgcv"
"644","brms","loo"
"645","brms","bayesplot"
"646","brms","shinystan"
"647","brms","glue"
"648","brms","backports"
"649","brms","bridgesampling"
"650","brms","coda"
"651","brms","abind"
"652","brulee","cli"
"653","brulee","dplyr"
"654","brulee","rlang"
"655","brulee","torch"
"656","brulee","tibble"
"657","brulee","coro"
"658","brulee","generics"
"659","brulee","hardhat"
"660","brulee","ggplot2"
"661","brulee","glue"
"662","CIDER","igraph"
"663","CIDER","kernlab"
"664","CIDER","ggplot2"
"665","CIDER","Seurat"
"666","CIDER","doParallel"
"667","CIDER","foreach"
"668","CIDER","dbscan"
"669","CIDER","viridis"
"670","CIDER","pheatmap"
"671","cvar","Rdpack"
"672","cvar","gbutils"
"673","DGLMExtPois","nloptr"
"674","DGLMExtPois","COMPoissonReg"
"675","dismo","raster"
"676","dismo","terra"
"677","dismo","Rcpp"
"678","dismo","sp"
"679","dodgr","callr"
"680","dodgr","Rcpp"
"681","dodgr","osmdata"
"682","dodgr","magrittr"
"683","dodgr","RcppParallel"
"684","dodgr","fs"
"685","dodgr","digest"
"686","dtw","proxy"
"687","dynamAedes","raster"
"688","dynamAedes","fields"
"689","dynamAedes","sp"
"690","dynamAedes","doParallel"
"691","dynamAedes","foreach"
"692","dynamAedes","slam"
"693","dynamAedes","insol"
"694","dynamAedes","drc"
"695","Ease","Rcpp"
"696","Ease","RcppProgress"
"697","flextable","officer"
"698","flextable","rlang"
"699","flextable","knitr"
"700","flextable","rmarkdown"
"701","flextable","htmltools"
"702","flextable","uuid"
"703","flextable","gdtools"
"704","flextable","xml2"
"705","flextable","data.table"
"706","flextable","base64enc"
"707","fwb","rlang"
"708","fwb","chk"
"709","fwb","pbapply"
"710","GDPuc","lifecycle"
"711","GDPuc","cli"
"712","GDPuc","dplyr"
"713","GDPuc","rlang"
"714","GDPuc","tibble"
"715","GDPuc","magrittr"
"716","GDPuc","crayon"
"717","GDPuc","withr"
"718","GDPuc","glue"
"719","GDPuc","tidyselect"
"720","geneHapR","tidyr"
"721","geneHapR","rlang"
"722","geneHapR","stringr"
"723","geneHapR","tibble"
"724","geneHapR","shiny"
"725","geneHapR","vcfR"
"726","geneHapR","ggplot2"
"727","geneHapR","ape"
"728","geneHapR","shinyjs"
"729","geneHapR","pegas"
"730","geneHapR","maps"
"731","geneHapR","stringdist"
"732","geneHapR","genetics"
"733","geneHapR","ggpubr"
"734","geneHapR","reshape2"
"735","GGIR","zoo"
"736","GGIR","GGIRread"
"737","GGIR","read.gt3x"
"738","GGIR","ActCR"
"739","GGIR","tuneR"
"740","GGIR","doParallel"
"741","GGIR","foreach"
"742","GGIR","data.table"
"743","GGIR","signal"
"744","GGIR","GENEAread"
"745","GGIR","unisensR"
"746","GGIR","ineq"
"747","glossr","flextable"
"748","glossr","cli"
"749","glossr","tidyr"
"750","glossr","dplyr"
"751","glossr","rlang"
"752","glossr","knitr"
"753","glossr","stringr"
"754","glossr","tibble"
"755","glossr","magrittr"
"756","glossr","purrr"
"757","gustave","Matrix"
"758","icensBKL","survival"
"759","icensBKL","MASS"
"760","icensBKL","gtools"
"761","icensBKL","smoothSurv"
"762","icensBKL","mvtnorm"
"763","icensBKL","TeachingDemos"
"764","leafdown","shiny"
"765","leafdown","checkmate"
"766","leafdown","magrittr"
"767","leafdown","leaflet"
"768","leafdown","shinyjs"
"769","leafdown","R6"
"770","MBESS","nlme"
"771","MBESS","MASS"
"772","MBESS","lavaan"
"773","MBESS","mnormt"
"774","MBESS","semTools"
"775","MBESS","sem"
"776","MBESS","OpenMx"
"777","MBESS","boot"
"778","meshed","dplyr"
"779","meshed","rlang"
"780","meshed","Rcpp"
"781","meshed","FNN"
"782","meshed","magrittr"
"783","meshed","glue"
"784","mixAK","lme4"
"785","mixAK","mnormt"
"786","mixAK","fastGHQuad"
"787","mixAK","colorspace"
"788","mixAK","coda"
"789","onmaRg","dplyr"
"790","onmaRg","stringr"
"791","onmaRg","httr"
"792","onmaRg","readxl"
"793","onmaRg","sf"
"794","ProjectManagement","lpSolveAPI"
"795","ProjectManagement","igraph"
"796","ProjectManagement","plotly"
"797","ProjectManagement","triangle"
"798","ProjectManagement","GameTheory"
"799","ProjectManagement","kappalab"
"800","Qindex","survival"
"801","Qindex","matrixStats"
"802","Qindex","rpart"
"803","Qindex","boot"
"804","quanteda.textstats","Matrix"
"805","quanteda.textstats","proxyC"
"806","quanteda.textstats","quanteda"
"807","quanteda.textstats","stringi"
"808","quanteda.textstats","Rcpp"
"809","quanteda.textstats","nsyllable"
"810","quanteda.textstats","RcppParallel"
"811","ravetools","waveslim"
"812","ravetools","filearray"
"813","ravetools","Rcpp"
"814","ravetools","pracma"
"815","ravetools","digest"
"816","ravetools","signal"
"817","rcaiman","terra"
"818","rcaiman","Rdpack"
"819","rcaiman","lidR"
"820","rcaiman","testthat"
"821","rcaiman","magrittr"
"822","rcaiman","pracma"
"823","rcaiman","colorspace"
"824","rcaiman","spatial"
"825","rcaiman","filenamer"
"826","RcmdrPlugin.cpd","Rcmdr"
"827","RcmdrPlugin.cpd","cpd"
"828","RcmdrPlugin.cpd","RcmdrMisc"
"829","recurrentpseudo","dplyr"
"830","recurrentpseudo","stringr"
"831","recurrentpseudo","geepack"
"832","recurrentpseudo","survival"
"833","recurrentpseudo","magrittr"
"834","recurrentpseudo","prodlim"
"835","refdb","tidyr"
"836","refdb","bioseq"
"837","refdb","dplyr"
"838","refdb","rlang"
"839","refdb","rmarkdown"
"840","refdb","stringr"
"841","refdb","ggraph"
"842","refdb","tibble"
"843","refdb","igraph"
"844","refdb","ggplot2"
"845","refdb","taxize"
"846","refdb","leaflet"
"847","refdb","ape"
"848","refdb","yaml"
"849","refdb","readr"
"850","refdb","xml2"
"851","refdb","bold"
"852","refdb","rentrez"
"853","Rgff","tidyr"
"854","Rgff","dplyr"
"855","Rgff","rlang"
"856","Rgff","tibble"
"857","Rgff","stringi"
"858","Rgff","magrittr"
"859","Rgff","withr"
"860","Rgff","RJSONIO"
"861","Rgff","data.tree"
"862","rgplates","sf"
"863","rGV","chron"
"864","Rtapas","phytools"
"865","Rtapas","stringr"
"866","Rtapas","parallelly"
"867","Rtapas","vegan"
"868","Rtapas","ape"
"869","Rtapas","paco"
"870","Rtapas","distory"
"871","Rtapas","GiniWegNeg"
"872","scoringRules","knitr"
"873","scoringRules","MASS"
"874","scoringRules","Rcpp"
"875","seeker","qs"
"876","seeker","RCurl"
"877","seeker","R.utils"
"878","seeker","BiocManager"
"879","seeker","checkmate"
"880","seeker","withr"
"881","seeker","glue"
"882","seeker","jsonlite"
"883","seeker","yaml"
"884","seeker","foreach"
"885","seeker","readr"
"886","seeker","sessioninfo"
"887","seeker","data.table"
"888","seeker","curl"
"889","SparseChol","Matrix"
"890","SparseChol","Rcpp"
"891","timbr","dplyr"
"892","timbr","rlang"
"893","timbr","tidygraph"
"894","timbr","pillar"
"895","timbr","tibble"
"896","timbr","vctrs"
"897","timbr","memoise"
"898","timbr","purrr"
"899","TSCI","ranger"
"900","TSCI","xgboost"
"901","TSCI","Rfast"
"902","unitquantreg","MASS"
"903","unitquantreg","quantreg"
"904","unitquantreg","Rcpp"
"905","unitquantreg","optimx"
"906","unitquantreg","Formula"
"907","unitquantreg","numDeriv"
"908","xhaz","stringr"
"909","xhaz","statmod"
"910","xhaz","survival"
"911","xhaz","gtools"
"912","xhaz","survexp.fr"
"913","xhaz","optimParallel"
"914","xhaz","numDeriv"
"915","abclass","Rcpp"
"916","bayestestR","insight"
"917","bayestestR","datawizard"
"918","BSPBSS","neurobase"
"919","BSPBSS","oro.nifti"
"920","BSPBSS","BayesGPfit"
"921","BSPBSS","gtools"
"922","BSPBSS","svd"
"923","BSPBSS","ica"
"924","BSPBSS","Rcpp"
"925","BSPBSS","ggplot2"
"926","BSPBSS","gplots"
"927","BSPBSS","movMF"
"928","BSPBSS","glmnet"
"929","BSPBSS","rstiefel"
"930","BSPBSS","gridExtra"
"931","CALANGO","DT"
"932","CALANGO","knitr"
"933","CALANGO","rmarkdown"
"934","CALANGO","nlme"
"935","CALANGO","htmltools"
"936","CALANGO","pkgdown"
"937","CALANGO","dendextend"
"938","CALANGO","BiocManager"
"939","CALANGO","ggplot2"
"940","CALANGO","pbmcapply"
"941","CALANGO","taxize"
"942","CALANGO","ape"
"943","CALANGO","heatmaply"
"944","CALANGO","plotly"
"945","CALANGO","htmlwidgets"
"946","CALANGO","assertthat"
"947","common","this.path"
"948","FishResp","chron"
"949","FishResp","mclust"
"950","FishResp","lattice"
"951","FishResp","respirometry"
"952","FishResp","rMR"
"953","geos","libgeos"
"954","geos","wk"
"955","guiplot","DT"
"956","guiplot","rlang"
"957","guiplot","shiny"
"958","guiplot","ggplot2"
"959","guiplot","magrittr"
"960","guiplot","svglite"
"961","guiplot","R6"
"962","guiplot","excelR"
"963","hdf5r","R6"
"964","hdf5r","bit64"
"965","hockeyR","zoo"
"966","hockeyR","tidyr"
"967","hockeyR","dplyr"
"968","hockeyR","stringr"
"969","hockeyR","rvest"
"970","hockeyR","httr"
"971","hockeyR","xgboost"
"972","hockeyR","magrittr"
"973","hockeyR","glue"
"974","hockeyR","jsonlite"
"975","hockeyR","tidyselect"
"976","hockeyR","lubridate"
"977","hockeyR","padr"
"978","hockeyR","janitor"
"979","hockeyR","purrr"
"980","hockeystick","tidyr"
"981","hockeystick","dplyr"
"982","hockeystick","scales"
"983","hockeystick","patchwork"
"984","hockeystick","rvest"
"985","hockeystick","tibble"
"986","hockeystick","ggplot2"
"987","hockeystick","readr"
"988","hockeystick","lubridate"
"989","hockeystick","treemapify"
"990","nhanesA","stringr"
